date,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
1/2/2022,2,0,0,0,2,1,0,2,1,0,1,1,1,0,0,0,1,1,0,0,2,1,0,2,2,1,0,0,1,1,1,0,1,1,1,0,0,1,2
1/3/2022,0,1,0,1,0,0,0,1,1,3,1,2,1,1,3,0,0,0,0,0,1,1,0,0,0,1,2,2,0,1,1,2,0,0,2,0,1,0,1
1/4/2022,2,1,0,1,0,1,0,0,2,1,2,0,0,1,0,1,4,0,2,0,1,1,1,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,1
1/5/2022,2,0,1,1,0,1,0,1,2,0,0,1,1,0,1,2,0,2,0,0,0,0,0,1,1,2,0,2,1,0,0,2,0,1,0,1,0,2,2
1/6/2022,1,1,2,0,1,0,0,1,1,1,0,1,0,1,2,2,1,1,0,0,1,1,1,0,1,2,0,1,1,0,1,0,3,0,0,0,2,0,0
1/7/2022,0,1,0,2,1,0,1,0,0,0,2,0,2,2,0,0,1,0,0,1,2,0,0,1,1,1,1,2,0,2,0,0,1,1,1,0,1,2,1
1/8/2022,1,0,2,0,3,2,0,2,0,3,1,0,0,0,0,1,1,0,0,3,2,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,1,1,1
1/9/2022,1,1,1,0,0,0,0,0,1,0,0,1,1,4,1,0,0,1,1,0,2,1,0,1,0,0,2,0,3,1,0,1,1,1,1,1,2,0,0
1/10/2022,0,0,1,3,1,0,0,0,1,0,3,0,1,0,2,1,0,0,1,1,0,0,1,1,2,2,1,1,0,0,1,1,1,0,1,0,1,2,0
1/11/2022,0,0,0,1,0,0,1,2,0,1,1,0,2,0,1,1,2,1,1,0,1,1,0,0,1,0,1,3,1,1,2,1,1,1,1,0,0,0,1
1/12/2022,0,0,3,0,0,0,0,2,1,0,0,1,2,1,1,1,0,1,2,0,0,1,1,1,2,0,0,1,2,1,0,1,0,2,1,0,0,2,0
1/13/2022,1,0,0,0,0,0,1,1,1,1,0,1,2,0,2,0,1,0,0,0,1,1,2,1,0,1,2,1,0,2,0,1,2,3,1,0,0,1,0
1/14/2022,1,0,0,2,1,0,1,0,0,0,3,1,0,0,0,2,1,0,0,2,0,1,2,0,0,2,0,2,0,1,0,2,0,3,0,0,2,0,1
1/15/2022,0,1,1,0,1,0,1,1,1,0,0,4,1,1,1,1,2,2,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,2,1,0,1,0,1
1/16/2022,0,0,3,0,1,1,0,3,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,3,1,1,1,1,0,1,1,0,2,2,0,1,0
1/17/2022,1,0,0,0,2,1,2,0,1,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,1,1,2,1
1/18/2022,0,0,0,1,2,1,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,3,2,0,1,0,2,0,1,2,2,0,1,1,2,1,0
1/19/2022,1,0,1,1,0,2,0,1,1,0,1,1,1,0,1,1,3,1,0,0,0,0,1,2,0,0,1,0,0,1,1,2,2,0,0,2,0,1,1
1/20/2022,3,1,0,1,1,2,0,2,0,0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0
1/21/2022,1,1,0,0,1,0,0,1,0,1,0,0,0,2,2,1,1,0,0,2,1,1,1,2,0,0,1,0,2,0,1,2,1,1,1,0,1,1,1
1/22/2022,0,1,2,0,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,0,2,1,0,1,2,0,1,1,1,1,0,0,0,0,1,1,3,2,1
1/23/2022,1,0,1,1,1,1,1,0,2,2,1,0,0,0,1,0,1,2,2,1,2,0,2,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0
1/24/2022,0,1,3,1,1,1,0,0,2,0,1,0,1,1,1,0,1,0,0,2,0,3,0,2,1,1,0,1,1,0,0,1,1,0,0,1,0,2,0
1/25/2022,2,2,0,2,1,2,0,1,0,1,0,0,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1,1,0,2,1,1,2,0
1/26/2022,0,0,0,1,3,1,0,1,0,0,1,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,2,2,2,2,1
1/27/2022,2,0,0,0,0,1,2,2,2,1,2,1,2,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0,1,1
1/28/2022,1,0,0,0,0,3,2,0,2,2,0,0,1,1,1,0,0,0,0,0,2,1,1,2,0,1,0,0,1,0,0,1,2,1,2,0,1,1,1
1/29/2022,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2,2,0,0,1,1,2,1,0,0,0,1,0,2
1/30/2022,1,0,2,0,2,0,0,1,1,2,0,1,1,2,3,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,2,2,0,0,1,1,0,2,0
1/31/2022,0,1,0,1,0,3,2,1,1,1,2,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,2,0,0,0,3,0,1,1,1
2/1/2022,0,0,2,0,1,0,1,0,0,2,0,0,1,4,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,3,1,0,3,1,0,0,1,0,2
2/2/2022,1,1,1,0,1,1,0,2,2,0,0,1,1,0,3,1,0,1,1,0,1,0,0,0,1,0,2,1,1,0,2,1,0,1,0,0,2,1,0
2/3/2022,0,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,4,3,1,0,1,1,0,1,1,1,0,2,1,0,0,0,0,1,1,0,1,2,1
2/4/2022,1,1,0,3,2,1,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1,4,0,2,2
2/5/2022,0,0,0,1,0,2,0,1,1,1,2,0,2,0,0,0,1,1,2,1,1,0,1,0,1,1,1,2,0,1,0,0,0,1,0,2,2,2,0
2/6/2022,1,0,0,0,1,2,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,1,1,2,0,1,1,1,1,0,0,1,1,2,0
2/7/2022,0,0,0,1,2,1,2,0,0,0,2,0,1,1,1,2,0,1,1,2,1,2,0,0,1,1,0,0,1,0,0,1,0,0,2,1,1,1,1
2/8/2022,0,1,1,0,3,4,0,0,2,3,0,0,0,0,0,0,0,2,0,1,1,1,0,1,3,0,0,1,1,1,0,1,0,0,0,0,0,2,1
2/9/2022,0,2,1,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,2,0,1,2,0,1,1,0,1,3,2,0,2,1,0
2/10/2022,1,1,1,1,0,0,1,0,2,0,1,0,1,1,0,1,0,2,0,1,0,0,1,1,1,0,1,1,0,3,2,1,0,0,0,1,1,2,1
2/11/2022,2,1,1,1,2,0,1,0,1,1,3,0,0,0,1,1,1,3,1,0,1,1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0
2/12/2022,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,1,1,1,0,3,0,0,0,0,2,0,0,0,1,3,3,0
2/13/2022,0,0,0,1,0,1,3,0,1,1,0,1,2,2,0,1,0,0,0,1,0,0,0,2,1,0,1,1,3,1,1,0,1,0,0,2,0,3,0
2/14/2022,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,2,1,0,0,1,0,0,1,2,0,1,0,0,1,2,1,1,0,2,2,0,2,3
2/15/2022,0,1,0,1,1,1,1,1,1,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,0,1,2,2,2,1,0,0,2,0,1,1,1,0,0
2/16/2022,1,0,0,0,0,0,1,1,2,0,1,0,2,0,1,1,1,0,0,1,1,1,3,0,0,1,0,0,0,0,2,1,2,2,0,2,0,2,1
2/17/2022,0,1,3,0,0,0,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1,3,2,1,1,0,0,1,0,0,0,1,0,3,0,2,0,0,2
2/18/2022,2,0,2,1,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,0,3,2,0,1,1,1,2
2/19/2022,1,1,0,2,1,1,1,0,2,0,1,0,0,1,1,4,1,1,1,1,0,1,0,1,2,0,1,0,1,0,0,0,1,0,0,1,2,0,0
2/20/2022,0,0,1,1,0,1,0,0,2,2,0,1,0,0,1,0,2,0,4,0,1,1,0,1,3,0,0,0,0,1,1,1,0,1,1,2,0,0,2
2/21/2022,2,1,0,1,1,1,0,1,3,1,1,0,1,1,0,3,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,2,0
2/22/2022,1,2,0,0,1,0,1,1,0,0,1,1,0,2,0,0,2,0,0,2,0,0,0,1,0,1,0,2,1,2,3,0,0,0,1,3,0,0,2
2/23/2022,1,1,2,0,1,0,2,1,0,0,1,0,1,1,2,0,0,1,2,1,1,1,0,2,0,0,1,2,0,1,1,2,0,0,1,1,0,0,0
2/24/2022,0,1,0,1,0,0,2,2,1,0,0,1,0,1,2,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,2,1,2,1,1,2,1,0
2/25/2022,0,1,1,1,1,0,1,1,1,1,2,1,1,0,0,0,0,2,1,1,0,1,2,0,1,0,0,0,0,2,1,0,1,0,3,0,2,1,0
2/26/2022,0,0,1,0,0,1,1,0,1,1,0,1,2,1,0,0,0,1,1,0,1,0,1,1,2,2,2,0,0,1,1,0,1,2,2,1,0,0,2
2/27/2022,0,1,1,0,3,1,0,1,0,0,1,0,2,1,0,1,0,1,0,1,2,0,2,0,0,2,1,0,0,1,1,0,2,1,2,0,1,1,0
2/28/2022,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,2,1,1,0,1,0,1,2,1,1,1,1,1,0,2,3,0,0,1,1,1,0,2,1
3/1/2022,2,2,2,0,1,0,1,1,1,0,0,0,0,0,1,1,3,0,0,2,1,1,1,0,1,0,1,0,2,0,0,2,0,1,0,2,1,0,0
3/2/2022,1,2,0,2,2,0,1,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,3,0,1,0,2,0
3/3/2022,0,1,2,1,0,2,2,1,1,0,1,2,0,0,2,1,1,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,1,2
3/4/2022,0,0,0,0,3,2,1,0,1,0,1,3,0,1,1,0,3,1,0,0,1,0,3,1,0,1,0,0,1,2,0,2,0,1,0,0,1,0,0
3/5/2022,1,2,0,0,0,2,1,0,0,0,1,0,1,1,0,1,2,1,1,0,1,1,0,0,0,3,1,1,0,0,0,1,1,1,2,1,0,2,1
3/6/2022,3,1,1,2,1,0,0,2,0,0,1,0,0,0,1,3,1,0,1,2,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,2,1,0,1
3/7/2022,0,0,1,0,0,0,1,0,0,3,1,1,2,0,0,0,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0,1,0,3,1,2,2,1,0
3/8/2022,2,2,0,0,1,0,2,0,1,1,4,2,1,0,0,1,2,0,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0
3/9/2022,0,1,0,1,0,1,1,0,1,0,1,1,1,4,1,1,0,1,1,1,0,1,1,0,0,0,2,0,1,0,1,3,1,0,0,1,2,0,0
3/10/2022,0,2,0,0,2,1,1,0,2,2,2,0,0,2,0,1,1,1,2,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0,1
3/11/2022,0,0,1,1,1,0,1,1,0,0,0,1,2,1,1,0,1,1,1,1,2,2,1,1,0,0,1,1,0,0,1,0,1,3,1,1,1,0,0
3/12/2022,0,1,2,1,0,1,3,1,0,1,2,2,2,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1
3/13/2022,0,0,1,1,1,0,1,1,0,2,1,1,0,1,0,2,1,1,0,1,1,0,2,2,1,1,0,0,0,1,1,2,0,1,1,1,1,0,0
3/14/2022,0,2,1,1,2,2,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,2,1,1,2,2,1,2,1,0
3/15/2022,0,0,1,1,2,1,0,1,0,1,1,2,1,0,2,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,3,0,2,1
3/16/2022,1,1,0,0,4,0,0,1,1,0,0,1,2,0,2,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,3,0,1,1,0,0,2,0
3/17/2022,1,0,2,1,1,0,1,1,0,0,1,2,1,2,1,0,0,1,2,0,0,1,1,0,0,1,2,1,2,1,0,0,1,0,1,2,0,0,0
3/18/2022,0,0,0,1,2,2,1,0,0,0,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,2,0,0,1,2,0,2,1
3/19/2022,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,2,1,2,1,1,2,1,0,0,1,2,0,0,0,1,1,0,1,3,2,0,0,0
3/20/2022,1,1,0,0,3,0,0,0,0,1,1,2,2,0,0,2,1,1,3,0,1,1,1,1,2,2,0,0,0,0,0,0,1,0,1,1,0,1,0
3/21/2022,0,0,0,0,1,2,1,2,1,1,2,0,1,1,0,1,0,1,0,2,0,2,0,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,1
3/22/2022,0,3,0,0,0,0,1,0,2,0,1,0,1,2,0,2,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,1,2,0,1,1,1,1
3/23/2022,1,2,1,0,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,2,2,0,2,1,1,0,2,0,1,0,0,0,0,0,1,0,1,0
3/24/2022,0,1,0,3,0,0,2,1,2,0,0,1,0,0,2,1,0,1,1,0,1,0,2,0,0,2,0,1,0,1,1,2,1,1,0,1,0,1,1
3/25/2022,2,0,0,2,2,1,2,2,2,1,0,0,0,0,2,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,2,0
3/26/2022,1,0,0,1,0,0,2,1,1,0,1,2,2,0,0,1,0,1,2,0,2,0,0,1,3,0,0,0,0,1,1,1,1,0,2,1,2,0,0
3/27/2022,0,1,1,1,2,1,0,0,1,0,0,1,0,1,1,0,1,2,1,3,1,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,2,2,1
3/28/2022,3,2,1,2,0,0,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1,1,0,1,0,0,2,1,3,0,0,0,0,0,1,1,0,1,2
3/29/2022,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,2,2,1,0,2,1,1,2,1,0,2,0,3,1,1,0,1,0,0
3/30/2022,0,1,0,0,1,0,3,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,2,2,1,1,1,0,2,0,1
3/31/2022,1,0,1,0,1,1,0,0,3,0,0,1,0,1,2,0,1,1,2,1,0,0,2,0,1,1,1,1,1,1,0,0,0,2,3,0,0,0,1
4/1/2022,0,2,0,0,1,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,1,1,1,2,0,2,2,2,1,0,0,1,2,0,0,0,2,0,1
4/2/2022,0,1,1,1,2,0,2,0,1,1,2,0,0,1,3,1,1,1,0,1,1,0,0,1,0,1,1,0,2,0,1,2,1,0,0,0,1,0,0
4/3/2022,1,2,1,0,0,1,0,0,1,1,0,1,1,1,2,1,1,0,0,0,1,2,1,0,0,1,0,1,1,1,2,0,0,1,2,0,1,1,1
4/4/2022,0,1,0,1,1,2,1,1,0,2,2,1,0,0,0,1,0,1,0,0,0,3,2,1,1,0,0,2,1,1,1,0,0,1,0,0,1,2,0
4/5/2022,1,0,0,0,2,1,1,1,0,1,2,0,1,2,1,1,1,0,0,0,1,2,0,1,0,1,2,1,0,1,1,1,0,3,0,1,0,0,0
4/6/2022,0,0,0,1,2,1,0,1,1,1,0,0,1,0,1,0,0,2,1,0,1,2,0,0,0,2,1,0,1,0,2,1,2,0,1,3,1,1,0
4/7/2022,0,1,2,2,1,0,1,0,2,4,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,0,1,1,1,1,0,0,1,0,2
4/8/2022,0,1,1,2,0,1,0,1,0,2,2,1,0,0,1,2,2,0,0,1,0,1,0,0,1,2,1,2,1,1,0,0,0,1,0,1,1,1,0
4/9/2022,1,1,0,0,1,1,0,2,2,1,0,2,1,2,1,1,0,0,2,0,1,1,0,0,2,0,0,2,0,3,0,0,0,1,0,0,0,1,1
4/10/2022,1,0,0,2,1,0,1,2,0,1,1,0,0,0,1,1,0,3,0,0,2,1,0,2,0,1,0,0,1,1,1,0,2,1,2,1,1,0,0
4/11/2022,1,2,2,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,2,1,0,1,2,0,1,1,2,1,0,1,1,0,1,0,1,1,1
4/12/2022,0,2,2,1,0,0,0,0,1,1,3,1,1,1,0,1,1,0,0,2,0,0,2,0,0,0,2,0,2,1,1,1,0,0,1,1,1,1,0
4/13/2022,0,0,0,1,0,0,1,2,1,0,1,2,1,1,0,0,1,1,2,2,1,2,1,0,1,1,0,1,0,0,1,1,0,1,2,1,0,0,1
4/14/2022,0,2,0,0,2,1,0,1,0,0,1,0,0,2,0,0,3,2,0,1,1,1,1,1,0,0,1,1,0,0,2,2,0,0,1,1,0,1,2
4/15/2022,0,1,0,0,0,2,1,2,0,1,1,1,1,0,2,0,0,0,1,3,2,0,1,0,1,1,0,1,1,1,2,0,1,1,0,1,0,0,1
4/16/2022,1,0,0,1,3,0,1,1,0,1,1,0,0,0,1,1,2,0,1,0,1,1,1,0,1,2,0,1,1,0,1,2,1,0,1,0,1,0,2
4/17/2022,0,0,2,1,0,0,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,3,0,2,0,3,0,1,3,0,0,0,0,2,1,0,2,1,1
4/18/2022,1,0,0,0,1,0,0,1,0,0,0,1,1,1,2,2,1,0,1,0,1,1,1,0,1,1,1,3,1,0,1,2,2,2,0,0,0,0,1
4/19/2022,1,0,2,0,2,1,0,1,2,0,0,3,1,1,1,0,1,0,0,1,0,0,1,0,2,1,2,0,2,1,0,1,0,0,0,1,1,0,1
4/20/2022,1,2,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,4,2,0,0,1,1,3,0,0,3,0,2,1,0,0
4/21/2022,1,3,1,0,1,1,0,0,0,2,0,0,1,1,1,2,1,2,0,0,0,1,3,1,2,0,1,0,0,0,1,1,0,0,0,1,0,2,0
4/22/2022,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,3,1,0,1,0,0,1,1,1,0,2,1,0,0,0
4/23/2022,1,1,1,0,0,1,0,1,2,2,0,0,3,0,3,2,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,2,1,1
4/24/2022,0,0,1,2,2,2,3,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,2,0,2,1,0,2,0,2,0,2,2,0,0,0,0
4/25/2022,1,0,2,1,0,0,0,1,1,1,1,0,1,0,2,1,0,0,1,1,0,1,2,1,1,0,2,1,2,0,2,1,2,1,0,0,0,0,0
4/26/2022,2,2,3,0,0,1,1,1,2,1,1,0,1,0,0,2,0,1,0,1,1,2,0,1,0,0,0,1,0,0,2,1,0,1,2,0,0,0,0
4/27/2022,2,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,0,2,0,1,1,0,1,1,1,0,1,1,3,2
4/28/2022,1,2,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,1,0,1,0,1,0,3,1,2,0,0,0,1,1,0,2,2,0,0,3,1,0
4/29/2022,1,2,1,0,1,1,0,1,1,1,1,1,2,0,0,2,0,0,0,1,1,0,0,0,1,1,0,1,0,2,2,2,0,1,1,1,1,0,0
4/30/2022,0,2,2,1,0,1,0,0,3,1,1,0,1,1,1,2,1,1,0,1,0,2,0,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,2
5/1/2022,1,1,0,0,2,1,0,1,0,2,0,0,2,2,0,1,0,3,0,1,0,0,1,1,0,0,1,1,2,0,0,1,1,0,0,2,2,0,1
5/2/2022,2,1,0,0,1,1,1,1,0,0,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,3,0,1,1,1,2
5/3/2022,3,0,0,0,0,0,2,0,0,0,0,4,2,0,0,1,1,0,0,2,0,2,0,1,0,1,4,1,1,0,1,0,0,1,0,2,0,1,0
5/4/2022,0,1,0,1,1,2,2,1,0,1,0,1,1,1,0,2,1,0,1,0,2,1,0,0,1,3,0,1,0,0,0,1,2,0,1,0,2,0,0
5/5/2022,2,1,2,0,1,0,1,0,1,2,2,0,1,1,2,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,2
5/6/2022,0,1,2,1,1,1,1,1,3,0,0,1,1,2,1,0,0,1,0,0,0,0,2,0,1,2,1,1,1,2,0,2,0,0,0,0,0,1,0
5/7/2022,1,0,0,1,0,0,3,1,3,0,0,0,2,1,3,0,0,1,0,2,0,1,0,0,2,1,1,1,1,0,2,1,0,0,1,0,0,1,0
5/8/2022,0,1,3,1,1,1,1,0,4,0,0,0,2,1,0,0,1,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,1,4
5/9/2022,1,1,0,1,2,0,0,4,0,1,2,0,2,0,0,0,0,1,1,0,0,1,1,1,2,1,1,0,0,0,1,1,0,1,2,0,1,1,0
5/10/2022,1,0,0,1,1,1,1,0,1,0,0,3,1,0,1,1,0,0,0,0,2,2,1,1,0,1,0,2,0,0,2,2,0,1,3,0,1,0,0
5/11/2022,1,0,2,0,3,1,1,0,1,0,0,0,2,0,1,0,0,2,1,2,2,0,2,0,1,0,2,1,0,1,1,1,1,0,0,0,0,1,0
5/12/2022,1,1,1,0,3,0,2,1,2,1,0,2,1,2,0,0,0,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,1,0,0,1,1,0
5/13/2022,0,2,1,0,0,0,0,1,1,1,0,0,1,1,0,2,2,0,2,1,1,1,0,0,2,0,1,1,2,1,1,0,2,1,0,0,1,1,0
5/14/2022,1,2,1,1,1,2,1,1,1,2,0,1,0,0,0,0,1,1,1,1,1,2,0,2,0,0,1,0,0,0,0,1,1,2,0,1,0,1,0
5/15/2022,1,1,0,1,1,0,2,1,1,2,1,2,0,0,1,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,2,2,2,1,1,0,0,1
5/16/2022,1,1,1,1,0,0,3,1,1,1,0,0,0,1,1,3,1,1,1,1,0,2,1,1,0,0,1,0,1,0,2,0,0,1,2,0,0,0,0
5/17/2022,1,1,1,0,2,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,1,2,1,1,2,2,1,0,0
5/18/2022,0,2,1,0,1,1,0,0,0,1,1,1,0,3,2,0,0,1,1,2,1,3,0,0,2,1,0,0,0,0,0,2,0,2,0,1,0,1,0
5/19/2022,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,3,1,1,0,0,1,0,0,1,2,0,2,0,0,2,1,3,0,1,1,2
5/20/2022,1,1,0,0,0,1,0,0,1,0,1,0,3,0,0,0,1,1,1,1,1,1,0,2,2,2,0,0,0,0,2,0,1,2,1,1,2,0,1
5/21/2022,0,0,1,2,0,0,0,1,0,0,1,0,2,1,1,1,0,0,1,0,1,1,1,1,1,0,3,2,0,0,0,2,0,1,2,1,0,2,1
5/22/2022,1,2,2,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,2,1,1,0,1,2,2,1,0,0,1,0,1,0,1,0,1,0
5/23/2022,0,1,1,2,0,1,3,1,1,1,0,0,0,2,0,0,2,0,0,3,1,0,0,1,2,0,1,1,0,0,0,0,1,1,0,0,2,2,0
5/24/2022,1,0,1,1,2,0,0,2,1,1,1,2,0,0,1,0,0,1,0,0,2,1,1,1,0,1,2,2,2,0,0,0,2,0,0,1,1,0,0
5/25/2022,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,2,2,0,0,1,1,1,0,1,1,0,3,1,2,2,0,2,1,1,1,1,1,0,1
5/26/2022,0,1,0,0,1,0,0,2,0,2,1,0,1,0,1,1,0,0,1,2,1,0,0,0,2,2,2,0,1,2,0,0,0,1,1,0,1,2,2
5/27/2022,0,1,1,0,1,2,1,0,0,1,0,0,2,1,1,1,0,3,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,0,1,2,1
5/28/2022,0,0,0,2,1,1,0,0,0,1,1,2,0,1,2,1,2,1,1,2,1,1,0,0,0,2,0,0,0,0,1,1,2,0,1,0,1,2,0
5/29/2022,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,2,0,0,1,2,0,2,0,2,1,1,3,1,0
5/30/2022,0,0,1,0,1,1,1,1,2,2,1,0,0,1,1,0,0,0,0,2,2,2,2,0,0,1,0,0,2,0,3,0,0,1,1,1,0,0,1
5/31/2022,0,2,0,0,0,1,0,0,3,0,0,1,1,0,0,3,1,0,1,0,0,1,0,1,1,2,1,0,1,0,0,1,1,2,2,1,0,2,1
6/1/2022,1,1,1,0,2,1,2,2,0,0,2,0,2,2,1,1,1,0,2,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,1,1
6/2/2022,1,1,1,1,1,1,2,0,0,0,0,1,0,1,2,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,3,1,2,3
6/3/2022,1,0,0,1,1,1,1,2,0,1,2,1,0,2,0,0,0,1,0,0,2,0,1,0,1,1,0,2,1,0,1,0,1,2,1,1,1,0,1
6/4/2022,1,2,1,2,1,0,1,1,1,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,0,0,1,2,1,0,0,1,0
6/5/2022,1,1,1,1,2,1,0,0,0,3,1,2,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,2,1,0,0,0,0,2,1,0,1,0,1
6/6/2022,1,0,1,1,0,2,0,1,0,1,0,1,1,1,1,1,0,0,1,2,1,0,0,1,1,0,2,1,0,1,0,1,1,1,0,0,3,0,2
6/7/2022,1,0,0,2,2,1,1,0,0,2,0,2,0,1,2,0,0,1,2,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,2,1
6/8/2022,3,0,0,3,0,1,0,1,0,2,0,1,1,1,1,1,2,0,2,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0
6/9/2022,0,1,0,0,1,0,1,0,0,1,1,0,2,1,3,0,0,0,1,2,0,1,1,0,1,2,1,1,1,2,1,1,1,0,0,0,0,2,1
6/10/2022,1,0,2,2,0,1,0,0,1,0,1,2,2,0,0,0,1,3,1,1,0,2,1,3,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0
6/11/2022,0,0,1,1,2,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,2,2,1,0,0,1,0,2,1,0,2
6/12/2022,1,1,1,1,2,1,0,0,1,1,1,1,0,4,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,2,0,1,1,0,1,1
